technician;name;Group;Age;Sleep;period;fullname;subtype;delta_NREM;sigma_NREM;theta_REM;beta_REM;totalPercent
AT;10;Young_C;Young;control;P;AT_10_Y_C_P;YCP;33,8784945;10,81514502;76,34710621;10,67840437;310,943188
AT;15;Young_C;Young;control;P;AT_15_Y_C_P;YCP;37,73919352;9,112669118;78,01730181;6,205122888;313,407394
AT;16;Young_C;Young;control;P;AT_16_Y_C_P;YCP;24,21783392;11,6901085;70,18480228;10,78856712;314,3784943
AT;18rr;Young_C;Young;control;P;AT_18rr_Y_C_P;YCP;32,17314186;12,04356961;60,66604872;12,9135074;313,3006297
AT;25;Young_C;Young;control;P;AT_25_Y_C_P;YCP;22,16476731;15,7880918;69,29319438;8,605605369;311,2662501
MT;2;Young_C;Young;control;P;MT_2_Y_C_P;YCP;18,69071332;19,22012452;78,23790125;7,105824085;312,6113156
MT;5;Young_C;Young;control;P;MT_5_Y_C_P;YCP;15,31222508;19,71773565;72,21813095;9,261403375;312,4212172
MT;7;Young_C;Young;control;P;MT_7_Y_C_P;YCP;21,88959387;14,33510111;83,98848862;6,676015598;309,3388072
MT;8;Young_C;Young;control;P;MT_8_Y_C_P;YCP;18,82989433;14,62264243;78,62918016;7,784944678;310,8811809
AEG;1;Old_C;Old;control;P;AEG_1_O_C_P;OCP;26,60478797;11,85796878;73,91120614;6,962656862;311,2511985
AEG;2;Old_C;Old;control;P;AEG_2_O_C_P;OCP;17,73996278;12,29483427;78,07470613;9,765353314;309,8152628
AT;13;Old_C;Old;control;P;AT_13_O_C_P;OCP;49,04212085;5,800398862;62,06796868;5,139601339;311,2206236
AT;19;Old_C;Old;control;P;AT_19_O_C_P;OCP;37,91745477;10,42687555;60,74033239;10,86032265;311,9536875
AT;21;Old_C;Old;control;P;AT_21_O_C_P;OCP;29,7901963;11,35602268;82,49610864;6,043741873;311,0223152
AT;24;Old_C;Old;control;P;AT_24_O_C_P;OCP;26,70325033;9,386829985;81,74806201;5,564188231;309,5095704
AT;9;Old_C;Old;control;P;AT_9_O_C_P;OCP;33,5521071;12,46878985;43,83661601;5,370298097;310,0025721
RB;6;Old_C;Old;control;P;RB_6_O_C_P;OCP;11,10115334;29,17434177;41,89261107;30,34320267;312,485212
