technician;name;Group;Age;Sleep;period;fullname;subtype;delta_NREM;sigma_NREM;theta_REM;beta_REM;totalPercent
AEG;99;Young_C;Young;control;R;AEG_99_Y_C_R;YCR;22,00283871;14,31704066;84,32461131;4,82120213;311,0538177
AT;10;Young_C;Young;control;R;AT_10_Y_C_R;YCR;29,6522664;11,95699392;75,40823578;10,49153543;311,1945809
AT;11;Young_C;Young;control;R;AT_11_Y_C_R;YCR;21,59544371;15,05863585;68,08066316;11,29428752;314,268404
AT;14;Young_C;Young;control;R;AT_14_Y_C_R;YCR;17,07117757;18,38180925;62,47792591;14,36587517;313,5878854
AT;15;Young_C;Young;control;R;AT_15_Y_C_R;YCR;34,52741964;9,862824155;76,21229184;7,571165991;312,5174454
AT;16;Young_C;Young;control;R;AT_16_Y_C_R;YCR;24,3283772;12,89813772;71,67477044;10,79121999;313,8883815
AT;18rr;Young_C;Young;control;R;AT_18rr_Y_C_R;YCR;22,69834092;14,48670483;60,63958162;12,69890723;312,0023194
MT;2;Young_C;Young;control;R;MT_2_Y_C_R;YCR;16,47746353;21,15137328;76,23855497;7,196104064;313,0128932
MT;5;Young_C;Young;control;R;MT_5_Y_C_R;YCR;10,04962894;19,97820104;75,97293124;9,453828377;310,654142
MT;7;Young_C;Young;control;R;MT_7_Y_C_R;YCR;15,08065593;16,23791601;88,47830289;5,268396578;308,3826275
MT;8;Young_C;Young;control;R;MT_8_Y_C_R;YCR;14,05469445;15,43183718;75,95715193;9,135579159;310,9522972
AEG;98;Young_SD;Young;restriction;R;AEG_98_Y_D_R;YDR;26,11769372;16,63130086;42,04508972;34,51247166;312,1786042
AT;14;Young_SD;Young;restriction;R;AT_14_Y_D_R;YDR;28,38334616;13,39585963;64,50980797;11,8045338;315,4261987
AT;16;Young_SD;Young;restriction;R;AT_16_Y_D_R;YDR;18,54298497;13,40284485;75,03205968;9,816791348;312,1497313
AT;18;Young_SD;Young;restriction;R;AT_18_Y_D_R;YDR;26,76889055;14,39458611;60,2848901;16,94307386;312,9181341
AT;20;Young_SD;Young;restriction;R;AT_20_Y_D_R;YDR;22,24969342;14,87569865;57,17154242;15,14413577;318,4986069
AT;28;Young_SD;Young;restriction;R;AT_28_Y_D_R;YDR;38,28942439;11,33406043;80,89719184;7,418556253;309,4436206
AT;98;Young_SD;Young;restriction;R;AT_98_Y_D_R;YDR;35,57896949;9,399099965;68,69181555;6,235596062;313,9871736
AT;99;Young_SD;Young;restriction;R;AT_99_Y_D_R;YDR;56,53387125;7,124648803;48,13352829;5,870178593;308,576515
KR;1;Young_SD;Young;restriction;R;KR_1_Y_D_R;YDR;24,57971358;21,6314373;43,0672679;20,91418692;313,3896406
MT;7;Young_SD;Young;restriction;R;MT_7_Y_D_R;YDR;19,07395517;16,4623612;74,63803993;11,60184581;311,4494809
RB;3;Young_SD;Young;restriction;R;RB_3_Y_D_R;YDR;26,04361179;14,64224285;81,02613693;6,612155587;312,8780507
AEG;1;Old_C;Old;control;R;AEG_1_O_C_R;OCR;25,11632491;13,5266753;72,98202433;7,266510189;311,0411255
AT;12;Old_C;Old;control;R;AT_12_O_C_R;OCR;16,9811064;17,91466928;68,21053729;8,768885092;312,1217494
AT;13;Old_C;Old;control;R;AT_13_O_C_R;OCR;15,31031676;20,57445155;22,65934978;54,1140312;309,4976271
AT;19;Old_C;Old;control;R;AT_19_O_C_R;OCR;29,70844313;12,42788996;69,48854557;12,07581827;311,7087224
AT;21;Old_C;Old;control;R;AT_21_O_C_R;OCR;22,53247709;12,77884599;83,89801209;6,295167239;310,585657
AT;24;Old_C;Old;control;R;AT_24_O_C_R;OCR;19,29678892;9,79584398;84,79839069;5,958737031;308,8146407
AT;97;Old_C;Old;control;R;AT_97_O_C_R;OCR;34,54376303;9,868113217;76,43062638;7,613796499;312,2932743
RB;6;Old_C;Old;control;R;RB_6_O_C_R;OCR;8,940142612;33,8754917;44,85217189;22,87292864;313,7718034
AEG;2;Old_SD;Old;restriction;R;AEG_2_O_D_R;ODR;25,6965515;14,36783409;77,00187306;7,737774514;311,0520407
AT;12;Old_SD;Old;restriction;R;AT_12_O_D_R;ODR;25,72470565;13,22153646;74,53018165;7,195839533;311,9004783
AT;19;Old_SD;Old;restriction;R;AT_19_O_D_R;ODR;37,81761845;10,37393336;62,84364339;12,39854885;312,3132258
AT;21;Old_SD;Old;restriction;R;AT_21_O_D_R;ODR;28,53794587;12,09201097;83,20332129;6,347961311;310,4943267
AT;24;Old_SD;Old;restriction;R;AT_24_O_D_R;ODR;29,25727357;9,373325825;73,07405403;5,630178418;313,6502856
AT;26;Old_SD;Old;restriction;R;AT_26_O_D_R;ODR;29,18791108;9,378575182;72,31169461;5,230421952;313,9777038
AT;9;Old_SD;Old;restriction;R;AT_9_O_D_R;ODR;31,61680211;13,6569358;79,45041681;8,936124938;310,7296543
KR;2;Old_SD;Old;restriction;R;KR_2_O_D_R;ODR;26,6269506;16,59294004;59,35644045;19,24771245;311,9403156
MT;0;Old_SD;Old;restriction;R;MT_0_O_D_R;ODR;18,82606932;16,32571421;78,96265623;10,05196625;309,8679573
