Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
1;Old_C;Old;control;R104C;T1_1;0,078182732;0,596161382;0,39651337;0,326676294;Object
2;Old_C;Old;control;R53C;T5_1;-0,470501149;0,793475973;0,379251625;0,583780652;Object
3;Old_C;Old;control;R72C;T3_3;0,132551589;0,884709097;0,709744546;-0,496080707;Object
4;Old_C;Old;control;R72C;T4_11;0,208862088;0,559445591;0,621234157;0,493624075;Object
5;Old_C;Old;control;R72C;T4_3;-0,195059408;0,664718504;0,774959917;-0,307342561;Object
6;Old_C;Old;control;R72C;T4_2;-0,290160587;0,771183787;0,701875768;0,527776743;Object
7;Old_C;Old;control;R72C;T4_4;-0,450315624;0,685455406;0,683210294;-0,076140682;Object
8;Old_C;Old;control;R72C;T4_6;0,051234078;0,760727742;0,827148112;-0,130635772;Object
9;Old_C;Old;control;R72C;T4_7;-0,122955674;0,789435992;0,759623444;-0,037982905;Object
10;Old_C;Old;control;R72C;T5_1;0,044176254;0,826513194;0,852682876;0,37598091;Object
11;Old_C;Old;control;R72C;T5_2;0,11104368;0,787176382;0,686202664;-0,305159452;Object
12;Old_C;Old;control;R72C;T5_3;0,105144799;0,340380415;0,673060614;-0,038081;Object
13;Old_C;Old;control;R72C;T5_5;-0,099244554;0,57298685;0,36353572;0,30622656;Object
14;Old_C;Old;control;R72C;T5_6;0,002748669;0,900465565;0,930022899;-0,521080607;Object
15;Old_C;Old;control;R75C;T2_5;0,361410307;0,670867358;0,916672621;0,758223534;Object
16;Old_C;Old;control;R75C;T2_7;-0,20073204;0,724096106;0,755934913;-0,141935255;Object
17;Old_C;Old;control;R76C;T1_1;0,10424556;0,567679626;0,51770435;-0,28292084;Object
18;Old_SD;Old;restriction;R104SD;T1_1;-0,152694954;0,356895211;0,565790912;-0,200156072;Object
19;Old_SD;Old;restriction;R109SD;T6_2;-0,312897142;0,4829796;0,552505571;-0,079327421;Object
20;Old_SD;Old;restriction;R113SD;T5_1;-0,164504819;0,605434463;0,93908721;0,370288557;Object
21;Old_SD;Old;restriction;R115SD;T2_5;-0,126719583;0,669455486;0,373154191;0,522952596;Object
22;Old_SD;Old;restriction;R115SD;T2_6;-0,106472721;0,468560443;0,739317613;0,211503128;Object
23;Old_SD;Old;restriction;R115SD;T4_3;0,229203541;0,630721915;0,568975479;0,043594507;Object
24;Old_SD;Old;restriction;R115SD;T4_7;0,221171572;0,630441501;0,145056119;0,064322157;Object
25;Old_SD;Old;restriction;R115SD;T5_2;0,246389591;0,509443611;0,760247159;NA;Object
26;Old_SD;Old;restriction;R115SD;T5_3;-0,48516554;0,800614176;0,479194856;0,078894312;Object
27;Old_SD;Old;restriction;R75SD;T2_9;0,074320335;0,690550032;0,668821505;0,456648381;Object
28;Old_SD;Old;restriction;R75SD;T5_1;-0,175229399;0,56889347;0,541889988;0,180475034;Object
29;Old_SD;Old;restriction;R75SD;T5_2;-0,126735954;0,908613423;0,827474581;0,293109055;Object
30;Old_SD;Old;restriction;R75SD;T5_3;0,127737059;0,442111229;0,403796766;0,301739936;Object
31;Old_SD;Old;restriction;R75SD;T5_5;0,155757639;0,554992871;0,70979955;0,528155344;Object
32;Young_C;Young;control;AK8C;T1_4;0,03375629;0,803949265;0,775394501;0,285741143;Object
33;Young_C;Young;control;AK8C;T5_4;-0,139752182;0,796332658;0,580427152;0,211992252;Object
34;Young_C;Young;control;R57CTT3;T4_1;-0,107751866;0,880418158;0,801998863;0,638835259;Object
35;Young_C;Young;control;R57CTT3;T4_2;0,28359482;0,76581725;0,872544271;0,191220308;Object
36;Young_C;Young;control;R57CTT3;T4_4;-0,019114942;0,75394728;0,847790967;0,181672662;Object
37;Young_C;Young;control;R57CTT3;T6_2;0,216242297;0,980393128;0,787251252;-0,234020038;Object
