Subject;Mouse;Cell Type;Group;Age;Sleep;id_s1;id_s2;id_s3;id_s4;id_s5;LR_s1;LR_s2;LR_s3;LR_s4;LR_s5
1;R104C;T1_1;Old_C;Old;control;14,49593538;42,66652826;16,34897579;9,884709773;20,64236031;0,362967855;0,118425257;0,286117903;0,952269321;0,231829877
2;R104C;T1_2;Old_C;Old;control;11,32925364;17,3977107;17,43716569;9,617189143;8,936070101;0,587901359;0,267564865;0,263090646;0,83761293;1,21056974
3;R104C;T1_4;Old_C;Old;control;21,29307102;20,70629169;19,3328392;12,96122344;29,0411394;0,172042468;0,20237422;0,218259644;0,418770566;0,135761505
4;R104C;T1_3;Old_C;Old;control;38,15566395;7,808431853;8,512812091;8,011374749;7,8489086;0,15450306;1,326531188;1,116889806;1,643828439;1,433882208
5;R104C;T5_1;Old_C;Old;control;10,59516543;15,75514115;16,37905399;15,43643463;12,67714828;0,618070061;0,336430988;0,309303312;0,337073158;0,448088575
6;R104C;T5_2;Old_C;Old;control;10,9057735;9,994122428;9,627790231;24,29450743;6,818763005;0,613581294;0,767518364;1,077627591;0,181054854;2,798216245
7;R104C;T5_3;Old_C;Old;control;11,93761309;8,633518832;10,07990448;12,56821124;11,59595681;0,50277922;1,032560548;0,770454657;0,457192354;0,570949753
8;R53C;T5_1;Old_C;Old;control;36,42867678;10,48124127;10,4822617;84,25755027;7,726945993;0,11710105;0,635444347;0,704622828;0,114118752;1,107172172
9;R53C;T5_2;Old_C;Old;control;8,795701471;15,6740329;9,654177425;12,07840199;8,40342118;0,907730106;0,338183575;0,869249151;0,490193997;1,226757941
10;R72C;T3_3;Old_C;Old;control;7,693135964;13,39105236;11,24799291;10,10581465;27,96637175;1,590193561;0,380848061;0,575867195;0,848963448;0,048837853
11;R72C;T4_11;Old_C;Old;control;21,17211221;27,14244515;39,40095903;13,69947671;6,879720468;0,147131539;0,05481398;0,134721661;0,387010003;1,384804112
12;R72C;T4_3;Old_C;Old;control;8,393041823;12,35394808;8,675141467;9,185392573;8,763279022;1,166642013;0,658962622;1,077252244;1,101852946;1,027858393
13;R72C;T4_2;Old_C;Old;control;50,49807086;13,13503537;9,14772661;9,100317204;17,93988082;0,051818125;0,427683831;1,048930044;1,190776513;0,17984726
14;R72C;T4_4;Old_C;Old;control;66,03434672;12,24724702;22,63422268;10,48424676;16,75317264;0,000821267;0,489114924;0,16701341;0,724348963;0,185923541
15;R72C;T4_6;Old_C;Old;control;13,9155814;6,707237325;13,60068291;8,839294914;36,62747624;0,37989571;1,592545633;0,386655509;1,289444082;0,064847162
16;R72C;T4_7;Old_C;Old;control;10,97906405;9,69849643;15,5818648;28,9946869;7,723868215;0,645541413;0,868207788;0,269332926;0,109782601;1,668700456
17;R72C;T5_1;Old_C;Old;control;7,870231005;10,21508499;17,16340498;19,69080542;11,50030459;1,629690522;0,792826135;0,223421972;0,239800664;0,619628663
18;R72C;T5_2;Old_C;Old;control;23,93628633;22,24223894;14,40578706;11,49967186;10,05417532;0,088258347;0,215628052;0,367308329;0,778892718;0,918290124
19;R72C;T5_3;Old_C;Old;control;12,66753562;26,20419912;7,14563626;13,07551985;15,32946108;0,454932981;0,147043014;2,486072409;0,404738186;0,265819622
20;R72C;T5_5;Old_C;Old;control;14,02909719;28,05018258;16,03326965;15,30616167;20,17795582;0,335244875;0,103197024;0,326754345;0,263317978;0,128196481
21;R72C;T5_6;Old_C;Old;control;10,09689624;9,154194353;34,9431509;7,786461541;14,37284431;0,744436131;1,479287712;0,028785057;1,301950364;0,355546356
22;R72C;T3_2;Old_C;Old;control;10,0493357;12,53274971;9,753144795;9,847717665;44,01336717;0,798070531;0,452083648;0,874443639;0,790109871;0,078844895
23;R72C;T4_1;Old_C;Old;control;14,80457056;13,5959198;12,555431;9,605291887;9,741854073;0,359561272;0,376079721;0,448654533;0,994965296;0,783730218
24;R72C;T4_12;Old_C;Old;control;31,50744867;13,93237537;23,03770248;8,647638272;12,05451659;0,074578475;0,389089271;0,199796619;1,04261888;0,511340362
25;R72C;T4_5;Old_C;Old;control;24,95282489;16,66536646;28,3291383;9,076419282;21,54509566;0,152909476;0,189278692;0,094086663;1,038845198;0,240269532
26;R72C;T4_8;Old_C;Old;control;14,0067743;11,38998438;28,1919481;13,69343545;17,89193183;0,367670829;0,592916902;0,113445227;0,424650196;0,216730479
27;R72C;T4_9;Old_C;Old;control;10,28286374;13,02432398;12,19986511;16,21839691;12,39214187;0,721317137;0,457087467;0,454843445;0,202045076;0,432003783
28;R72C;T5_8;Old_C;Old;control;9,920865637;54,99407334;17,48756774;13,17842431;10,40326127;0,796701557;0,00015089;0,163788275;0,391942474;0,827617708
29;R75C;T2_5;Old_C;Old;control;12,11627012;14,47846207;16,38021673;10,17261776;19,65683066;0,484142591;0,269443929;0,273779711;0,754215739;0,158032068
30;R75C;T2_7;Old_C;Old;control;10,47606808;27,07065468;15,25531147;9,277072028;11,83769887;0,711671575;0,134363552;0,347523402;0,919842249;0,552969533
31;R75C;T2_1;Old_C;Old;control;9,719807156;9,585726276;5,974693443;8,333411486;10,17945481;1,060468385;0,847605711;3,055342926;1,088364532;0,716199585
32;R75C;T2_3;Old_C;Old;control;34,14447896;10,3957705;27,4403165;46,36701502;11,54035231;0,129733833;0,678914008;0,138642922;0,052646975;0,532361711
33;R75C;T2_6;Old_C;Old;control;9,593464998;8,895241045;10,23861669;41,71672611;24,80135796;0,944465173;1,510079207;0,830442588;0,023132186;0,14559122
34;R76C;T1_1;Old_C;Old;control;10,58959762;28,72557344;15,62394091;11,57887475;8,956017003;0,656673177;0,122679363;0,327869174;0,52605333;0,889452498
35;R76C;T1_3;Old_C;Old;control;12,68221366;24,690553;16,13253036;7,76736088;8,102153975;0,435375795;0,112469319;0,167246046;1,32175641;1,343854881
36;R76C;T1_4;Old_C;Old;control;9,304820367;13,43129547;15,58973643;9,55776554;15,73836984;0,997803781;0,417986194;0,224201583;0,761982647;0,282041594
37;R104SD;T1_1;Old_SD;Old;restriction;7,745136316;9,039970469;10,91237877;9,884709773;33,10287764;1,254631367;1,134148364;0,665487764;0,952269321;0,202695248
