Mouse;Cell;Group;Age;Sleep;id_s1;id_s2;id_s3;id_s4;id_s5;LR_s1;LR_s2;LR_s3;LR_s4;LR_s5
1;TT4_1;Young_C;Young;control;6,499534955;6,24599884;6,714783128;6,538833974;8,924608404;2,036943757;2,272363501;1,882420983;2,769524195;0,997779766
2;TT4_2;Young_C;Young;control;6,015143935;5,316397032;4,867760464;5,311478072;6,234894354;5,427922924;5,779257585;9,095886104;6,074395222;2,577132446
3;TT4_3;Young_C;Young;control;9,28397341;8,40060466;10,64671632;10,67526551;6,457650567;0,923834197;1,068675161;0,670234462;0,793493468;2,719293152
4;TT4_5;Young_C;Young;control;6,658097721;6,47086174;7,940451444;5,901436627;6,525881487;1,989135785;1,905064099;1,333563255;2,709338844;2,577132446
5;TT4_7;Young_C;Young;control;8,734646373;8,645482782;8,725746721;9,014865897;4,817688142;1,243565359;0,945383449;0,955070375;1,087345639;1,177820444
6;TT4_8;Young_C;Young;control;7,425158522;6,301513242;11,79661155;7,493243227;5,977497727;1,859621404;2,674764118;0,525518759;1,850543069;3,167992974
7;TT3_1;Young_C;Young;control;19,57919066;10,72774513;14,80270163;30,23139601;11,34488325;0,193410443;0,590831196;0,259721298;0,125143585;0,523935948
8;TT3_10;Young_C;Young;control;8,183425427;11,61406371;9,440150696;11,69145824;12,95137138;1,26712493;0,635083229;0,927316134;0,551045247;0,449803091
9;TT3_11;Young_C;Young;control;9,510385955;10,28013637;10,6912163;10,13972554;25,55210768;0,960264814;0,825897505;0,682503773;0,707771793;0,117492913
10;TT3_12;Young_C;Young;control;9,394779236;9,22810841;8,873587468;6,67428724;13,12241867;1,085756315;0,948322942;1,29037576;1,935072751;0,354508835
11;TT3_13;Young_C;Young;control;11,11489171;9,635951558;12,55988847;10,33492463;7,930865803;0,595774559;0,976078282;0,484675656;0,681267978;1,651993805
13;TT3_3;Young_C;Young;control;11,84494748;16,75311097;19,51510044;15,7617251;12,3742001;0,583603003;0,287772728;0,246514171;0,294101527;0,451312664
14;TT3_4;Young_C;Young;control;11,41542013;10,55876828;12,08088059;10,5775078;13,15764376;0,532355866;0,758163098;0,501339532;0,714071794;0,428120222
15;TT3_5;Young_C;Young;control;6,385907146;6,322034301;6,522708243;6,186786012;10,74168231;2,456011152;2,477165367;2,691889978;2,578908307;0,614482193
16;TT3_6;Young_C;Young;control;9,37843765;8,207063136;8,493002933;8,396255943;27,14157667;0,986612226;1,187874492;1,041273893;1,172448148;0,130155175
17;TT3_7;Young_C;Young;control;10,60924356;13,58599591;12,78251637;11,90291328;21,43968086;0,639278552;0,427279977;0,450884987;0,458096809;0,209531228
