Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
1;Old_C;Old;control;HG_2-25;TT3_1;-0,067002558;0,436999442;0,136248566;0,611483018;Unstable
2;Old_C;Old;control;HG_2-25;TT3_3;-0,050924048;0,641945439;-0,040107278;0,025035697;Unstable
3;Old_C;Old;control;HG_2-25;TT3_5;0,46184413;-0,08041732;0,059300859;0,436513714;Unstable
4;Old_C;Old;control;HG_2-25;TT6_1;-0,175095302;0,190145082;0,422156436;0,481628543;Unstable
5;Old_C;Old;control;HG_2-25;TT6_2;0,255842313;0,355252672;-0,025516722;0,056508748;Unstable
6;Old_C;Old;control;HG_2-25;TT6_3;0,066812851;0,349008694;0,302596918;-0,181423979;Unstable
7;Old_C;Old;control;HG_old4;TT1_1;0,308767331;0,389080717;0,030206778;-0,11675533;Unstable
8;Old_C;Old;control;HG_old4;TT1_2;0,349759288;0,206053723;-0,146049448;0,658487942;Unstable
9;Old_C;Old;control;HG_old4;TT1_4;0,307685631;-0,138106171;-0,068694724;-0,154023782;Unstable
10;Old_C;Old;control;HG_old4;TT3_1;0,114481806;0,067641306;0,621811216;-0,202988073;Unstable
11;Old_C;Old;control;HG_old4;TT3_2;0,114805052;-0,180116105;0,052355562;-0,035548043;Unstable
12;Old_C;Old;control;HG_3-16;TT1_2;0,000656291;-0,127361712;0,357959571;-0,123338768;Unstable
13;Old_C;Old;control;HG_3-16;TT1_3;0,444135757;0,058413232;0,532661851;0,287099597;Unstable
14;Old_C;Old;control;HG_3-16;TT1_4;0,160289005;0,018267718;0,246564847;0,093689604;Unstable
15;Old_C;Old;control;HG_3-16;TT1_7;0,089036555;-0,021735113;-0,049885176;-0,136970929;Unstable
16;Old_C;Old;control;HG_3-16;TT2_4;-0,130670466;0,634607996;0,176101575;0,341122886;Unstable
17;Old_C;Old;control;HG_3-16;TT5_2;-0,111678981;0,076395228;-0,05810608;-0,174295738;Unstable
18;Old_C;Old;control;HG_3-16;TT5_3;-0,291510577;0,403789771;0,105854861;-0,129927088;Unstable
19;Old_C;Old;control;HG_3-16;TT2_3;-0,042399468;0,913522451;-0,14237254;0,119612806;Unstable
20;Young_C;Young;control;MG1_Y_NM;TT3_11;-0,032264114;-0,354523316;0,229566123;-0,037236463;Unstable
21;Young_C;Young;control;MG1_Y_NM;TT3_12;0,236397844;0,859611447;-0,088240358;-0,267753986;Unstable
22;Young_C;Young;control;MG1_Y_NM;TT3_5;-0,299557367;0,212481497;0,676988622;-0,383554095;Unstable
23;Young_C;Young;control;MG1_Y_NM;TT3_7;0,494310337;0,128184364;-0,118334284;0,806174031;Unstable
24;Young_C;Young;control;MG1_Y_NM;TT3_8;0,177185538;0,324093523;0,475742003;-0,142593675;Unstable
25;Young_C;Young;control;HG-Y_NM;TT1_4;-0,410220586;0,294002918;-0,072321229;0,366377167;Unstable
26;Young_C;Young;control;HG-Y_NM;TT1_6;0,275894867;0,213833093;-0,014509306;0,016508554;Unstable
27;Young_C;Young;control;HG-Y_NM;TT4_2;-0,01744811;-0,05139018;-0,325061108;-0,22719556;Unstable
28;Young_C;Young;control;HG-Y_NM;TT4_5;0,376046591;0,048830539;0,361304268;-0,305436295;Unstable
29;Young_C;Young;control;CMG;TT2_1;0,141101142;0,153896524;0,547333939;0,249934917;Unstable
30;Young_C;Young;control;CMG;TT2_2;0,059276471;0,004186947;0,098967511;0,49882824;Unstable
31;Young_C;Young;control;CMG;TT2_6;0,154047653;-0,09140102;0,111087926;0,44144856;Unstable
32;Young_C;Young;control;CMG;TT3_3;0,051348091;0,293094716;0,429874282;0,412489691;Unstable
33;Old_C;Old;control;HG_2-25;TT3_2;0,48495022;0,96426248;0,90752329;0,13747414;Context
34;Old_C;Old;control;HG_2-25;TT3_4;0,40611164;0,90407127;0,56852332;0,22017426;Context
35;Old_C;Old;control;HG_old4;TT1_3;0,38659926;0,32503036;0,49288061;-0,2154983;Context
36;Old_C;Old;control;HG_old4;TT3_3;0,61898493;0,51892227;0,39593209;0,04095735;Context
37;Young_C;Young;control;MG1_Y_NM;TT3_6;0,470522044;0,896344821;0,78787942;0,549349121;Context
38;Young_C;Young;control;MG1_Y_NM;TT3_1;0,346990434;0,421107759;0,647285379;0,585954541;Context
39;Young_C;Young;control;CMG_Y;TT2_4;0,661288303;0,730624763;0,91978794;0,864849245;Context
40;Young_C;Young;control;CMG_Y;TT3_5;0,828246483;0,741374157;0,63279982;0,290192922;Context
41;Old_C;Old;control;HG_2-25;TT3_6;-0,074859564;0,777053024;0,908854171;0,091096691;Object
42;Old_C;Old;control;HG_2-17;TT3_1;0,322985738;0,438397673;0,386485491;0,470902955;Object
43;Old_C;Old;control;HG_3-16;TT1_1;0,255059632;0,731419339;0,931119851;0,185233121;Object
44;Old_C;Old;control;HG_3-16;TT1_5;0,170804151;0,344824788;0,571396719;0,259630397;Object
45;Old_C;Old;control;HG_3-16;TT5_1;-0,096006617;0,336168675;0,576738281;0,265258442;Object
46;Young_C;Young;control;MG1_Y_NM;TT3_10;-0,130556225;0,823470867;0,776204673;0,667946937;Object
47;Young_C;Young;control;MG1_Y_NM;TT3_13;0,025313908;0,320742723;0,838137749;0,617134141;Object
48;Young_C;Young;control;MG1_Y_NM;TT3_2;-0,073410263;0,716433085;0,522572997;0,495735717;Object
