Subject;Mouse;Cell Type;Group;Age;Sleep;mfr_s1;mfr_s2;mfr_s3;mfr_s4;mfr_s5;pfr_s1;pfr_s2;pfr_s3;pfr_s4;pfr_s5;outF_s1;outF_s2;outF_s3;outF_s4;outF_s5;NOfF_s1;NOfF_s2;NOfF_s3;NOfF_s4;NOfF_s5;InfoC_s1;InfoC_s2;InfoC_s3;InfoC_s4;InfoC_s5;RatRemap_Hab-S1;RatRemap_S1-S2;RatRemap_S2-S3;RatRemap_S3-test;SmFields_s1;SmFields_s2;SmFields_s3;SmFields_s4;SmFields_s5
R104C1_1;R104C;T1_1;Old_C;Old;control;0,336704144;0,700127831;0,791550389;0,959473919;0,563492082;1,250875917;4,26339158;2,601563158;1,768495594;1,127224664;0,254772274;0,621619598;0,668581373;0,611418978;0,411021741;1;1;2;1;3;0,80009243;0,842908397;0,641808051;0,309072197;0,474710339;3,012515663;1,661828422;0,833067565;0,641270929;224;64;136;572;364
R104C1_2;R104C;T1_2;Old_C;Old;control;0,629806312;1,081540754;0,935047828;0,749752844;0,386651482;1,398911392;1,928065624;2,580110608;1,518419569;0,79338697;0,430937609;0,783205359;0,885874731;0,568444577;0,285553991;2;1;2;1;1;0,283405761;0,165694945;0,175437382;0,191936732;0,554155023;0,529154233;0,652044983;1,061691038;0,725032599;352;540;172;416;352
R104C1_3;R104C;T1_3;Old_C;Old;control;0,879306505;0,391862592;0,430492317;0,41944215;0,15885681;3,237131144;1,340188784;1,392386774;1,681326001;0,972912109;0,702874789;0,228362087;0,269958719;0,327321366;0,09665534;1;1;1;1;1;1,011171768;0,701141267;1,130857184;1,020963188;1,989139975;1,89694236;0,05219799;0,288939227;0,708413892;228;144;124;88;156
R104C1_4;R104C;T1_4;Old_C;Old;control;0,801791882;0,658329154;0,453637065;0,922772731;0,848235421;2,069956708;1,02780772;1,379139693;1,956451603;1,31374082;0,695875946;0,308089626;0,419104404;0,766289785;0,587322344;1;1;1;1;1;0,246893271;0,170040325;0,500739408;0,272954026;0,215102441;1,042148988;0,351331973;0,57731191;0,642710784;212;708;80;460;892
R104C5_1;R104C;T5_1;Old_C;Old;control;0,886573501;1,656272555;0,874871483;0,749752844;0,848235421;3,135479293;4,08675543;3,761332738;2,68693357;2,243147475;0,875515645;1,014065718;0,846406786;0,603424781;0,590569348;1;1;1;1;1;0,514764949;0,412122354;0,613991911;0,61638697;0,612306521;0,951276137;0,325422692;1,074399167;0,443786096;204;196;104;132;260
R104C5_2;R104C;T5_2;Old_C;Old;control;0,293102168;0,344839081;0,254592231;0,387983989;0,311719024;0,931090534;1,064013169;0,714240237;1,421068088;0,66892697;0,208802703;0,287428856;0,186114029;0,358184058;0,247144909;1;2;1;1;1;0,827026242;0,785030998;0,767293243;0,611124212;0,65243748;0,132922635;0,349772932;0,70682785;0,752141118;144;136;132;28;368
R104C5_3;R104C;T5_3;Old_C;Old;control;0,864772514;1,170362941;0,939676778;0,969959973;0,764311068;2,004397451;2,727632753;3,444476561;2,511500716;1,479911424;0,437048043;0,768336665;0,622686231;0,708593953;0,583185188;1;2;1;1;1;0,309128114;0,462670273;0,445655916;0,406012236;0,263967885;0,723235302;0,716843809;0,932975845;1,031589293;396;320;144;348;444
R53C5_1;R53C;T5_1;Old_C;Old;control;0,496075987;0,567114997;0,734972501;0,615736469;0,799892334;1,284938198;1,964834394;2,368367496;1,004980634;2,702982537;0,27357504;0,414433708;0,493283019;0,290437829;0,301246825;2;1;1;1;1;0,981000453;1,015214251;NA;0,387014333;1,301732981;0,679896196;0,403533102;1,363386861;1,698001902;224;148;144;344;216
R53C5_2;R53C;T5_2;Old_C;Old;control;0,413396656;0,310308206;0,25096622;0,321653379;0,299959625;2,005951996;2,141060561;1,04273378;0,69381366;1,095455127;0,186018751;0,212597175;0,177845647;0,177252392;0,150235781;1;2;1;2;1;NA;1,161497264;1,549666202;0,729692785;0,888446342;0,135108565;1,098326781;0,348920121;0,401641468;72;136;188;220;144
R72C3_2;R72C;T3_2;Old_C;Old;control;0,310315692;0,296806305;0,367443365;0,273936977;0,771815712;0,830271384;1,855946045;0,976413347;0,902181583;2,724025396;0,251179354;0,290473161;0,237089979;0,195886489;0,46980482;1;1;1;1;1;1,1842789;0,85539958;0,403173374;1,352721626;0,370799901;1,025674662;0,879532698;0,074231764;1,821843813;312;68;164;160;148
R72C3_3;R72C;T3_3;Old_C;Old;control;1,049709873;1,340575143;0,987053745;0,582116076;0,645702033;3,777293499;5,982178273;3,598942039;4,176487043;2,193787779;0,608827169;0,771311777;0,558380192;0,372495374;0,399938104;1;1;2;1;1;0,720995749;0,455040142;0,627273178;1,2106646;0,180317473;2,204884774;2,383236234;0,577545004;1,982699265;164;96;216;120;164
R72C4_1;R72C;T4_1;Old_C;Old;control;1,225938538;1,375202546;2,586513099;1,478118271;1,104755822;3,091056576;3,087546432;6,956683332;3,425838288;3,82994093;0,69285954;0,844937851;0;0,903344347;0,95610995;2;2;2;1;2;0,525187165;0,218510717;NA;0,283570816;1,353890449;0,003510143;3,869136899;3,530845044;0,404102642;308;264;204;252;80
