technician;name;Group;Age;Sleep;period;fullname;subtype;sum_before;sum_after
AEG;99;Young_C;Young;control;R;AEG_99_Y_C_R;YCR;60;26,66666667
AT;10;Young_C;Young;control;R;AT_10_Y_C_R;YCR;39,05882353;8,941176471
AT;14;Young_C;Young;control;R;AT_14_Y_C_R;YCR;35,96153846;11,53846154
AT;15;Young_C;Young;control;R;AT_15_Y_C_R;YCR;22,13333333;9,866666667
AT;16;Young_C;Young;control;R;AT_16_Y_C_R;YCR;40,5;12,5
AT;18rr;Young_C;Young;control;R;AT_18rr_Y_C_R;YCR;32,71052632;26,21052632
MT;2;Young_C;Young;control;R;MT_2_Y_C_R;YCR;42,08823529;18,08823529
MT;5;Young_C;Young;control;R;MT_5_Y_C_R;YCR;38,55555556;15,02222222
MT;7;Young_C;Young;control;R;MT_7_Y_C_R;YCR;46;4
MT;8;Young_C;Young;control;R;MT_8_Y_C_R;YCR;33;12,83333333
AEG;98;Young_SD;Young;restriction;R;AEG_98_Y_D_R;YDR;22,4;14,4
AT;14;Young_SD;Young;restriction;R;AT_14_Y_D_R;YDR;35,05555556;13,27777778
AT;16;Young_SD;Young;restriction;R;AT_16_Y_D_R;YDR;33;2,4
AT;18;Young_SD;Young;restriction;R;AT_18_Y_D_R;YDR;41,45454545;3,636363636
AT;20;Young_SD;Young;restriction;R;AT_20_Y_D_R;YDR;30,71428571;7,714285714
AT;28;Young_SD;Young;restriction;R;AT_28_Y_D_R;YDR;22,85714286;7,285714286
AT;98;Young_SD;Young;restriction;R;AT_98_Y_D_R;YDR;32,5;14,21052632
AT;99;Young_SD;Young;restriction;R;AT_99_Y_D_R;YDR;24,16;10,08
KR;1;Young_SD;Young;restriction;R;KR_1_Y_D_R;YDR;13;6,75
MT;7;Young_SD;Young;restriction;R;MT_7_Y_D_R;YDR;38,4;6,533333333
RB;3;Young_SD;Young;restriction;R;RB_3_Y_D_R;YDR;42,26086957;5,739130435
AEG;1;Old_C;Old;control;R;AEG_1_O_C_R;OCR;52,5;29,2
AT;12;Old_C;Old;control;R;AT_12_O_C_R;OCR;36,42307692;13,03846154
AT;13;Old_C;Old;control;R;AT_13_O_C_R;OCR;36,88888889;9,333333333
AT;19;Old_C;Old;control;R;AT_19_O_C_R;OCR;37,47368421;7,789473684
AT;21;Old_C;Old;control;R;AT_21_O_C_R;OCR;42,0625;11,25
AT;24;Old_C;Old;control;R;AT_24_O_C_R;OCR;35,22222222;13
AT;97;Old_C;Old;control;R;AT_97_O_C_R;OCR;28,54545455;8,727272727
RB;6;Old_C;Old;control;R;RB_6_O_C_R;OCR;39,6;20,23333333
AEG;2;Old_SD;Old;restriction;R;AEG_2_O_D_R;ODR;47,2;16,48
AEG;96;Old_SD;Old;restriction;R;AEG_96_O_D_R;ODR;48,47826087;50,84782609
AT;12;Old_SD;Old;restriction;R;AT_12_O_D_R;ODR;38,44444444;5,555555556
AT;19;Old_SD;Old;restriction;R;AT_19_O_D_R;ODR;37,03225806;8,387096774
AT;21;Old_SD;Old;restriction;R;AT_21_O_D_R;ODR;50,46153846;13,84615385
AT;24;Old_SD;Old;restriction;R;AT_24_O_D_R;ODR;35,27272727;18,54545455
AT;26;Old_SD;Old;restriction;R;AT_26_O_D_R;ODR;37,66666667;25,66666667
AT;9;Old_SD;Old;restriction;R;AT_9_O_D_R;ODR;37,5;9,25
KR;2;Old_SD;Old;restriction;R;KR_2_O_D_R;ODR;50,66666667;1,333333333
MT;0;Old_SD;Old;restriction;R;MT_0_O_D_R;ODR;33,33333333;6,666666667
